index,timestamp,seq,ms,motor_angle_deg,motor_speed,CH0_volts,CH2_volts,CH3_volts,ellipse_angle_deg,ellipse_area_px2,frame_name,ch2_dv/dt,ch3_dv/dt,ch2_flag,ch3_flag
80,1760814913.3398175,99755,999072,0.0,1.0,-3.072000,0.005250,-0.001875,29.84,66115.0,1760814913311_frame_000008.jpg,0.000000,-0.450000,False,False
81,1760814913.3644164,99756,999082,0.0,1.0,-3.072000,0.005250,-0.000375,29.84,66115.0,1760814913311_frame_000008.jpg,0.000000,0.150000,False,False
82,1760814913.3703325,99757,999092,0.0,1.0,-3.072000,0.000000,0.000375,29.84,66115.0,1760814913311_frame_000008.jpg,-0.525000,0.075000,False,False
83,1760814913.373885,99758,999102,0.0,1.0,-3.072000,0.003000,0.000750,29.84,66115.0,1760814913311_frame_000008.jpg,0.300000,0.037500,False,False
84,1760814913.3856497,99759,999112,0.0,1.0,-3.072000,0.005250,-0.000750,29.84,66115.0,1760814913311_frame_000008.jpg,0.225000,-0.150000,False,False
85,1760814913.3863435,99760,999122,0.0,1.0,-3.072000,-0.000375,-0.000375,29.84,66115.0,1760814913311_frame_000008.jpg,-0.562500,0.037500,False,False
86,1760814913.3929863,99761,999132,0.0,1.0,-3.072000,0.000750,-0.003375,29.84,66115.0,1760814913311_frame_000008.jpg,0.112500,-0.300000,False,False
87,1760814913.4130003,99762,999142,0.0,1.0,-3.072000,0.000000,-0.001875,30.41,66112.5,1760814913311_frame_000008.jpg,-0.075000,0.150000,False,False
88,1760814913.4133673,99763,999152,0.0,1.0,-3.072000,0.001500,-0.000375,30.41,66112.5,1760814913413_frame_000009.jpg,0.150000,0.150000,False,False
89,1760814913.434235,99764,999162,0.0,1.0,-3.072000,0.000000,0.005250,30.41,66112.5,1760814913413_frame_000009.jpg,-0.150000,0.562500,False,False
90,1760814913.4454145,99765,999172,0.0,1.0,-3.072000,0.004500,0.006000,30.41,66112.5,1760814913413_frame_000009.jpg,0.450000,0.075000,False,False
91,1760814913.4483192,99766,999182,0.0,1.0,-3.072000,0.001125,-0.003375,30.41,66112.5,1760814913413_frame_000009.jpg,-0.337500,-0.937500,False,False
92,1760814913.4558265,99767,999192,0.0,1.0,-3.072000,0.001125,-0.000750,30.41,66112.5,1760814913413_frame_000009.jpg,0.000000,0.262500,False,False
93,1760814913.4752936,99768,999202,0.0,1.0,-3.072000,0.001125,-0.001875,30.41,66112.5,1760814913413_frame_000009.jpg,0.000000,-0.112500,False,False
94,1760814913.4771984,99769,999212,0.0,1.0,-3.072000,-0.000375,-0.002250,30.41,66112.5,1760814913413_frame_000009.jpg,-0.150000,-0.037500,False,False
