minute_bin,direction,voltage_std,motor_speed,sample_count,angle_mean,collapse_count,material,density,tribo_rank,resistivity,grouped_speed
6,Decreasing,0.010675781297785252,26.0,11862,52.465337837837836,148,acrylic,1.18,-48.73,14,26
7,Decreasing,0.013362450182420096,26.0,12000,52.451418439716306,141,acrylic,1.18,-48.73,14,26
8,Decreasing,0.015416757796675616,21.099199733244415,11996,49.650000000000006,144,acrylic,1.18,-48.73,14,21
9,Decreasing,0.016492124139825926,16.116666666666667,12000,46.492045454545455,132,acrylic,1.18,-48.73,14,16
10,Decreasing,0.016985517165215337,11.128333333333334,12000,42.21096296296297,135,acrylic,1.18,-48.73,14,11
11,Decreasing,0.016615185813014802,6.1433333333333335,12000,37.40238095238095,126,acrylic,1.18,-48.73,14,6
12,Decreasing,0.015378120583507602,1.16,12000,33.23790322580645,62,acrylic,1.18,-48.73,14,1
1,Increasing,0.00287659425427165,1.0,12000,34.489200000000004,25,nylon,1.14,-18.35,12,1
2,Increasing,0.0030324569587987836,5.9849974995832635,11998,32.3115306122449,98,nylon,1.14,-18.35,12,6
3,Increasing,0.005550452832230788,10.967494582430405,11998,34.17259615384615,104,nylon,1.14,-18.35,12,11
4,Increasing,0.010239758756702516,15.952507915347443,12002,36.03930434782609,115,nylon,1.14,-18.35,12,16
5,Increasing,0.016981446686154717,20.944157359559927,11998,39.56384,125,nylon,1.14,-18.35,12,21
6,Decreasing,0.02295262721022671,26.0,11836,45.86161971830986,142,nylon,1.14,-18.35,12,26
7,Decreasing,0.026446453565297307,26.0,12002,50.74304347826087,161,nylon,1.14,-18.35,12,26
8,Decreasing,0.027397540318496328,21.089166666666667,12000,50.6662676056338,142,nylon,1.14,-18.35,12,21
9,Decreasing,0.027170742570885757,16.103350558426403,11998,48.736641791044775,134,nylon,1.14,-18.35,12,16
10,Decreasing,0.02627817965591227,11.1183136143976,12002,44.71722627737226,137,nylon,1.14,-18.35,12,11
11,Decreasing,0.02576990096418428,6.134189031505251,11998,40.78452991452991,117,nylon,1.14,-18.35,12,6
12,Decreasing,0.0237702696217547,1.147475420763206,12002,37.18895833333333,48,nylon,1.14,-18.35,12,1
1,Increasing,0.002480031374881591,1.0,12002,34.02129032258065,31,nylon,1.14,-18.35,12,1
2,Increasing,0.0029852555056402532,5.989166666666667,12000,33.96935483870968,93,nylon,1.14,-18.35,12,6
3,Increasing,0.006253497285255185,10.980833333333333,12000,35.84657142857143,105,nylon,1.14,-18.35,12,11
4,Increasing,0.011352731069200142,15.964160693448909,11998,37.997657657657655,111,nylon,1.14,-18.35,12,16
5,Increasing,0.018374538762508795,20.95,12000,41.94688524590163,122,nylon,1.14,-18.35,12,21
6,Decreasing,0.023308588172061113,26.0,11842,46.91699248120301,133,nylon,1.14,-18.35,12,26
7,Decreasing,0.025830823058865773,26.0,12002,49.803219178082195,146,nylon,1.14,-18.35,12,26
8,Decreasing,0.026544410195325843,21.09084847474579,11998,49.09,125,nylon,1.14,-18.35,12,21
9,Decreasing,0.02659832572379972,16.109981669721712,12002,46.70864,125,nylon,1.14,-18.35,12,16
10,Decreasing,0.02625243000562792,11.119186531088515,11998,44.13669565217391,115,nylon,1.14,-18.35,12,11
11,Decreasing,0.025606354982095333,6.129978336943843,12002,39.94563106796116,103,nylon,1.14,-18.35,12,6
12,Decreasing,0.022950573957874584,1.1500250041673612,11998,36.76952380952381,42,nylon,1.14,-18.35,12,1
1,Increasing,0.0030489751763275756,1.0,12002,31.576666666666668,39,nylon,1.14,-18.35,12,1
2,Increasing,0.002742826656441267,5.9825029161806365,12002,32.54309523809523,84,nylon,1.14,-18.35,12,6
